Especie,Nombre comun,Habito alimenticio,Importancia agricola,Origen,Descripcion,Creditos fotograficos,Ubicacion imagen,Checklist
Condylostylus longicornis,Mosca de patas largas,Invertebrados (depredador),Benéfico,Nativo,"Mosca verde metálica cuyo abdomen se estrecha al final del cuerpo y tiene bandas oscuras. Mide 4-6 mm. Se caracteriza por tener patas largas que forman un ángulo recto. Cuando es larva, se alimenta de ácaros, áfidos, trips y otros dípteros, por lo que se la considera depredadora.",Foto: J Bolaños (FCD),https://drive.google.com/uc?export=view&id=1eWf3O5lfz_8QzNnVFPklwJ23yQZLg1Id,https://www.darwinfoundation.org/es/datazone/checklist?species=5727
Cycloneda sanguinea,Vaquita,Invertebrados (depredador),Benéfico,Nativo,"Tiene un cuerpo redondeado y convexo, sus alas (élitros) son de color anaranjado a rojo sin manchas. Mide entre 4-7 mm. De hábitos carnívoros y con un voraz apetito. Se alimenta de pulgones y cochinillas. Es un enemigo natural de plagas que ayuda a regular el crecimiento de poblaciones de otros insectos como los pulgones.",Foto: J Bolaños (FCD),https://drive.google.com/uc?export=view&id=1SILDgQekpz12xtNtV4pAHjQy77clx_Kx,https://www.darwinfoundation.org/es/datazone/checklist?species=5764
Orius tristicolor,Chinche pirata,Invertebrados (depredador),Benéfico,Desconocido,"Chinche mayormente de coloración negra y forma ligeramente ovalada. Sus alas son negras con manchas blancas. Mide entre 1-3 mm. Posee un pico alargado a manera de aguja. Se alimenta de trips, mosca blanca, áfidos, ácaros o larvas de mariposas. Enemigo natural de insectos plaga, ayuda a controlarlos para que no afecten los cultivos.",Foto: J Bolaños (FCD),https://drive.google.com/uc?export=view&id=1HXqDzbhvDU506qHhQ94ocHDSyC9gb7D2,https://www.darwinfoundation.org/es/datazone/checklist?species=12946
Toxomerus crockeri,Mosca de las flores,Invertebrados (depredador) y polen (polinizador),Benéfico,Endémico,"Forma y coloración similar a las abejas, abdomen amarillo con franjas negras. Mide entre 6-9 mm. En su estadio larval es depredador de insectos como pulgones, mosca blanca o cochinillas. En su etapa adulta es un importante polinizador de flores.",Foto: J Rodríguez(FCD),https://drive.google.com/uc?export=view&id=1HCZpSo_VokE2IXv7w1qFSWupKn3vZ0oX,https://www.darwinfoundation.org/es/datazone/checklist?species=7018
Aleurothrixus floccosus,Mosca blanca,Plantas (fitófago),Plaga,Introducido,En su estadio inmaduro (ninfa) es ovalado y de coloración verduzca y translucida. El adulto es alado y de coloración blanca. Mide menos de 1mm como ninfa y hasta 2 mm como adulto. Produce cera de color blanco y de apariencia algodonosa. La alimentación de las ninfas produce amarillamiento de las hojas (clorosis foliar) y pueden inhibir el crecimiento de la planta. Producen secreciones azucaradas sobre hojas y frutos donde crecen hongos. Estos hongos forman una capa negruzca (fumagina) que no permite respirar a las plantas.,Foto: J Bolaños (FCD),https://drive.google.com/uc?export=view&id=1HQ6UZmxNcg5gz-d4xBFXIiRRzc4aTPG8,https://www.darwinfoundation.org/es/datazone/checklist?species=5505
Anastrepha fraterculus,Mosca de la fruta,Plantas (fitófago),Plaga,Introducido,"Mosca de coloración amarilla con bandas de coloración café claro en sus alas. Mide entre 5-9 mm. La hembra tiene una estructura que le permite penetrar los frutos frescos y colocar sus huevos. De ellos, nacen larvas que durante su desarrollo se alimentan del interior de la fruta. Los frutos afectados no son aprovechados en el consumo humano.",Foto: J Bolaños (FCD),https://drive.google.com/uc?export=view&id=1V4CqjbtU039K6Qbo0ygAzHyw77Y64l6V,https://www.darwinfoundation.org/es/datazone/checklist?species=5531
Coccus viridis,Escama verde,Plantas (fitófago),Plaga,Introducido,"Escama ovalada de coloración verduzca y ligeramente translúcida. Miden entre 2-3 mm. Tienen preferencia por el envés de las hojas, cerca de la nervadura principal o brotes tiernos. Cuando estas escamas son abundantes generan amarillamiento en las hojas y debilitan a la planta. Las escamas producen secreciones azucaradas sobre la hoja donde crecen hongos. Estos hongos generan una capa negruzca que no permite respirar a las plantas.",Foto: J Bolaños (FCD),https://drive.google.com/uc?export=view&id=1k1eooTCTSZRDDwEA82k5VDMISpvqsPe3,https://www.darwinfoundation.org/es/datazone/checklist?species=5720
Polistes versicolor,Avispa amarilla de papel,Invertebrados (depredador) y polen (polinizador),Invasor,Introducido,"Cuerpo negro con bandas amarillas en tórax y abdomen. Mide entre 15 y 20 mm. Construye nidos colgantes de papel que pueden contener varios individuos y reinas. Es un depredador voraz de invertebrados y compite por recursos con otras especies insectívoras, como los pinzones de Darwin. Es muy común en frutales. Representa una gran molestia por sus dolorosas picaduras.",Foto: J Bolaños y J Rodríguez (FCD),https://drive.google.com/uc?export=view&id=1TJiLw0rVei7lVW7ZSIlSfxwjJBsvIo74,https://www.darwinfoundation.org/es/datazone/checklist?species=6829
Diaphania hyalinata,Perforador del pepino,Plantas (fitófago),Plaga,Introducido,"Mariposa de color blanco y negro. Sus alas tienen una banda negra continua a lo largo de todo el borde. Las larvas se alimentan mayormente del follaje de las plantas, y tienen afinidad por las cucurbitáceas como el pepino, melón, sandía, zapallo, etc. Su alta abundancia puede provocar daños completos en los cultivos.",Foto: J Bolaños (FCD),https://drive.google.com/uc?export=view&id=1sCeBz3R630gzfFJ2fUQYGX78qbqvB1o0,https://www.darwinfoundation.org/es/datazone/checklist?species=7152
Hypothenemus hampei,Broca del café,Plantas (fitófago),Plaga,Introducido,"En su etapa adulta es similar a un pequeño gorgojo de color café oscuro. Su cuerpo está cubierto por una pilosidad blanca. Mide de 1-2 mm de largo. La larva no tiene patas, es blanca y mide de 1 a 2 mm de largo. La hembra adulta perfora los granos de café para colocar sus huevos. Las larvas emergen y se alimentan del grano hasta llegar a su etapa adulta. Luego salen en busca de otro grano para continuar con su ciclo",Foto: J Bolaños y K Vera (FCD),https://drive.google.com/uc?export=view&id=1IpMKaq0XZ6nNQWTHArC-sKmj0bWXkmLR,https://www.darwinfoundation.org/es/datazone/checklist?species=19546
